SubAgency,Description,Latitude,Longitude,Accident,Belts,"Personal Injury","Property Damage",Fatal,"Commercial License","Commercial Vehicle",Alcohol,"Work Zone","Search Conducted",State,VehicleType,Year,Make,Model,Color,Article,"Contributed To Accident",Race,Gender,"Driver City","Driver State","DL State","Arrest Type","Violation Type"
"6th District, Gaithersburg / Montgomery Village","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.152737,-77.200413,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1994,TOYOTA,CAMRY,GREEN,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","PEDESTRIAN DIAGONALLY CROSSING ROADWAY INTERSECTION W/O TRAFFIC DEVICE AUTHORIZATION",39.078428,-77.071725,No,No,No,No,No,No,No,No,No,No,XX,"29 - Unknown",2008.503757,NONE,NONE,BLACK,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,XX,"A - Marked Patrol",Citation
"4th District, Wheaton","ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.047262,-77.040352,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,MAZD,4S,MAROON,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVING,TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.030935,-77.072407,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,TOYOTA,4H,BLACK,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVER FAILURE TO STOP AT STOP SIGN LINE",38.991305,-77.08878,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,HONDA,ACCORD,BLACK,"Transportation Article",False,WHITE,M,BETHESDA,MD,MD,"B - Unmarked Patrol",Citation
"4th District, Wheaton","EXCEEDING MAXIMUM SPEED: 87 MPH IN A POSTED 50 MPH ZONE",39.11819,-77.075102,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,BMW,M6,BLACK,"Transportation Article",False,OTHER,M,CLARKSVILLE,MD,MD,"Q - Marked Laser",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",39.157988,-77.192322,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2008,CHEV,TK,WHITE,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DISPLAYING  REG. PLATE ISSUED FOR OTHER VEHICLE",39.081965,-76.946937,No,No,No,No,No,No,No,No,No,No,WA,"02 - Automobile",2002,NISSAN,ALTIMA,SILVER,"Transportation Article",False,BLACK,M,FREDERICK,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","EXCEEDING MAXIMUM SPEED: 45 MPH IN A POSTED 30 MPH ZONE",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,CHEV,MALIBU,BLACK,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",39.329553,-77.191045,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,FORD,F350,"BLUE, DARK","Transportation Article",False,WHITE,M,THURMONT,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.060993,-77.051572,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,FORD,MUSTANG,BLUE,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVING UNINSURED VEHICLE",39.03938,-77.054332,No,No,No,No,No,No,No,No,No,No,DC,"02 - Automobile",2002,FORD,EXPLORER,"GREEN, DK","Transportation Article",False,BLACK,F,WASHINGTON,DC,DC,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DISPLAY SUSPENDED LIC.",39.074198,-77.00224,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,NISS,VN,SILVER,"Transportation Article",False,ASIAN,M,"SILVER SPRING",MD,MD,"S - License Plate Recognition",Citation
"4th District, Wheaton","DRIVING WHILE IMPAIRED BY ALCOHOL",39.058482,-77.04813,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2006,FORD,F150,SILVER,"Transportation Article",False,WHITE,M,WESTMINSTER,MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","EXCEEDING MAXIMUM SPEED: 60 MPH IN A POSTED 40 MPH ZONE",39.053947,-77.13727,No,No,No,No,No,No,No,No,No,No,TX,"05 - Light Duty Truck",2009,GMC,SIERRA,WHITE,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,TX,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT",39.140795,-77.212318,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2015,VOLK,PASSAT,"BLUE, DARK","Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","POSSESSING SUSPENDED LIC.",39.037205,-77.050508,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,HONDA,4S,WHITE,"Transportation Article",False,ASIAN,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.045524,-76.990685,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2012,TOYOTA,CAMRY,GRAY,"Transportation Article",False,BLACK,M,BOWIE,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2001,INFI,I30,WHITE,"Transportation Article",False,OTHER,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.151017,-77.170887,No,No,No,No,No,No,No,No,No,No,MD,"01 - Motorcycle",1991,YAMAHA,FZR600,RED,"Transportation Article",False,WHITE,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.144373,-77.042743,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,CHEVROLET,SUBURBAN,TAN,"Transportation Article",False,BLACK,M,"SANDY SPRING",MD,MD,"A - Marked Patrol",Citation
