SubAgency,Description,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,State,VehicleType,Year,Make,Model,Color,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Speeding,Violation Type
"3rd District, Silver Spring",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,KAWASAKE,MC,BLUE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.040053,-76.992135,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,SATURN,ION,WHITE,Transportation Article,False,BLACK,M,SUITLAND,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.066752,-77.15323,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,BMW,325 CI,BLACK,Transportation Article,False,WHITE,M,ROCKVILLE,MD,FL,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",EXCEEDING MAXIMUM SPEED: 58 MPH IN A POSTED 40 MPH ZONE,39.068313,-77.002425,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,NISS,SUV,BLACK,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,Q - Marked Laser,Measured,Citation
"3rd District, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.039608,-76.990857,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,CAMRY,SILVER,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,0.0,0.0,No,No,Yes,No,No,No,No,No,No,No,WV,02 - Automobile,1995.0,HONDA,CIVIC,GREEN,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Yes,Citation
Headquarters and Special Operations,DRIVER FAILURE TO AVOID PROJECTING GLARING LIGHT WITHIN 500 FEET OF APPROACHING VEH. DRIVER,39.194017,-77.185343,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2021.0,NISS,SD,BLACK,Transportation Article,False,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,39.141695,-77.22122,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,BMW,4S,GRAY,Transportation Article,False,BLACK,M,GWYNN OAK,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HWY. TO HAVE LIC.WITH HIM,39.04667,-77.0521,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,HYUNDAI,SONATA,WHITE,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,38.991068,-77.02438,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2005.0,HYUNDAI,ELANTRA,BLACK,Transportation Article,False,WHITE,M,ANNANDALE,VA,VA,M - Marked (Off-Duty),No,Warning
"1st District, Rockville",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,39.106188,-77.146405,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,MERZ,C320,SILVER,Transportation Article,False,BLACK,F,OLNEY,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,39.043548,-77.148592,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,DODGE,CHALLENGER,RED,Transportation Article,False,WHITE,M,CLINTON,MD,MD,Q - Marked Laser,Measured,Citation
"1st District, Rockville",DRIVING VEH. ON HWY. WITH UNPAID REGISTRATION FEE,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2004.0,CHEV,PK,TAN,Transportation Article,False,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",DRIVING WHILE IMPAIRED BY ALCOHOL,0.0,0.0,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,1999.0,FORD,FOCUS,WHITE,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",STOP LIGHTS (*),39.029827,-77.021747,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,4RUNNER,BLUE,Transportation Article,False,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Repair Order
"3rd District, Silver Spring",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,39.00169,-76.983338,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,LAND ROVER,SUV,BLACK,Transportation Article,False,HISPANIC,M,OLNEY,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.140824,-77.215466,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,COROLLA,BEIGE,Transportation Article,False,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,39.184495,-77.263593,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,HONDA,ODESSEY,"BLUE, LIGHT",Transportation Article,False,BLACK,F,DAMASCUS,MD,MD,S - License Plate Recognition,No,Citation
"4th District, Wheaton",RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,39.094113,-77.033137,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,2003.0,FORD,TRANSIT VAN,WHITE,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,38.997775,-77.1099,No,No,No,No,No,No,No,Yes,No,No,VA,02 - Automobile,2014.0,NISS,ALTIMA,BLACK,Transportation Article,False,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Citation
Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.15316,-77.212868,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2015.0,LEX,RX350,BLACK,Transportation Article,False,BLACK,F,CLARKSBURG,MD,MD,Q - Marked Laser,No,Warning
"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,39.153437,-77.212923,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,2008.503757,NONE,NONE,BLACK,Transportation Article,False,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.039257,-77.14631,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,CAMRY,BLACK,Transportation Article,False,BLACK,F,FREDERICK,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,39.10314,-77.22472,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2018.0,VOLKSWAGON,TIGUAN,BLACK,Transportation Article,False,WHITE,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,Measured,Citation
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,CAMRY,BEIGE,Transportation Article,False,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,0.0,0.0,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2007.0,CHRYSLER,4 DOOR,SILVER,Transportation Article,False,WHITE,M,BOYDS,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,39.038703,-77.145768,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,ACURA,TK,GRAY,Transportation Article,False,ASIAN,M,FALLS CHURCH,VA,VA,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,39.010941,-77.040948,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,ACCORD,SILVER,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.254717,-77.227615,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,NISSAN,ALTIMA,GRAY,Transportation Article,False,WHITE,F,DAMASCUS,MD,MD,A - Marked Patrol,No,Warning
